tipo,local,>65anos
Município,Monforte,731
Município,Nisa,2110
Município,Ponte de Sor,4025
Município,Portalegre,6042
Município,Sousel,1337
Município,Alandroal,1535
Município,Arraiolos,1949
Município,Borba,1912
Município,Estremoz,3762
Município,Évora,12366
Município,Montemor-o-Novo,4661
Município,Mora,1358
Município,Mourão,540
Município,Portel,1613
Município,Redondo,1604
Município,Reguengos de Monsaraz,2503
Município,Vendas Novas,3133
Município,Viana do Alentejo,1112
Município,Vila Viçosa,1877
Município,Albufeira,7052
Município,Alcoutim,999
Município,Aljezur,1717
Município,Castro Marim,1715
Município,Faro,13471
Município,Lagoa,4820
Município,Lagos,6507
Município,Loulé,14629
Município,Monchique,1805
Município,Olhão,9063
Município,Portimão,11207
Município,São Brás de Alportel,2336
Município,Silves,8639
Município,Tavira,6503
Município,Vila do Bispo,1383
Município,Vila Real de Santo António,4207
Município,Vila do Porto,840
Município,Lagoa[R.A.A.],1816
Município,Nordeste,873
Município,Ponta Delgada,9304
Município,Povoação,974
Município,Ribeira Grande,2962
Município,Vila Franca do Campo,1413
Município,Angra do Heroísmo,6004
Município,Vila da Praia da Vitória,3313
Município,Santa Cruz da Graciosa,840
Município,Calheta[R.A.A.],776
Município,Velas,918
Município,Lajes do Pico,1079
Município,Madalena,1132
Município,São Roque do Pico,642
Município,Horta,2598
Município,Lajes das Flores,303
Município,Santa Cruz das Flores,404
Município,Corvo,86
Município,Calheta[R.A.M.],2394
Município,Câmara de Lobos,4215
Município,Funchal,19922
Município,Machico,3505
Município,Ponta do Sol,1378
Município,Porto Moniz,586
Município,Ribeira Brava,2157
Município,Santa Cruz,5331
Município,Santana,1673
Município,São Vicente,1307
Município,Porto Santo,709
