Município,Penafiel,"40,4","56,1","55,8","67,9","69,0","69,6","75,7","77,0","78,9",
Município,Resende,"22,1","36,5","41,8","48,0","49,4","54,7","59,1","58,2","59,5",
Município,Alijó,"37,3","43,0","46,3","51,3","55,7","60,9","65,7","66,0","63,6",
Município,Armamar,"22,7","37,3","39,7","49,8","49,5","58,4","63,5","64,1","63,3",
Município,Carrazeda de Ansiães,"28,8","39,1","43,5","47,6","50,6","54,6","61,5","61,7","63,0",
Município,Freixo de Espada à Cinta,"40,0","42,5","47,4","53,5","52,4","57,0","62,9","63,6","63,2",
Município,Lamego,"52,7","59,0","71,4","77,6","79,0","79,4","81,8","80,8","81,4",
Município,Mesão Frio,"23,7","44,7","46,4","55,9","59,0","57,8","64,5","69,7","69,5",
Município,Moimenta da Beira,"41,6","46,8","51,3","54,0","56,5","63,1","67,5","66,8","66,3",
Município,Murça,"40,4","44,5","48,4","52,2","56,4","57,6","62,2","61,4","61,2",
Município,Penedono,"37,3","46,9","43,8","47,7","49,8","56,5","62,5","60,7","62,1",
Município,Peso da Régua,"70,8","66,4","70,6","76,7","80,8","79,2","82,6","84,5","82,5",
Município,Sabrosa,"25,8","37,3","45,3","52,3","54,4","60,3","63,9","63,8","61,9",
Município,Santa Marta de Penaguião,"36,2","39,2","45,8","49,7","51,6","55,7","61,1","60,2","58,7",
Município,São João da Pesqueira,"31,5","43,2","44,0","55,1","55,6","57,9","64,7","65,0","64,6",
Município,Sernancelhe,"28,0","33,9","40,0","47,0","47,4","54,3","61,0","59,2","58,8",
Município,Tabuaço,"26,8","39,9","43,5","47,8","51,6","50,9","56,6","55,9","55,3",
Município,Tarouca,"21,7","36,5","47,3","59,1","56,9","63,6","70,0","62,7","63,4",
Município,Torre de Moncorvo,"50,3","55,4","50,6","54,3","57,7","61,0","67,2","63,8","62,3",
Município,Vila Nova de Foz Côa,"38,4","52,0","53,8","54,0","54,5","63,6","69,4","69,1","68,0",
Município,Vila Real,"77,1","84,2","91,6","97,1","102,5","101,5","102,4","100,8","98,1",
Município,Alfândega da Fé,"34,4","43,0","48,7","55,4","53,1","57,1","64,4","64,6","66,0",
