ID;Description;numSlots;shortName;Lat;Lon;isManual;webDescription;photo
103;Auxiliar Metro Envigado;36;ME;6,17328099;-75,59658587;0;   Cabezote sur estación Envigado del Metro, costado oriental.;
104;Metro Envigado Sur;24;MS;6,17352632;-75,59709817;0;Cabezote sur estación Envigado del Metro, costado oriental.;
105;Metro Envigado Norte;40;MN;6,17427832;-75,59579462;0;Cabezote norte estación Envigado del metro, costado oriental.;
106;Puente fundadores;56;PF;6,17264099;-75,59282809;0;Esquina sur oriental;
107;La Ultima Estación;52;EST;6,17122766;-75,59411019;0;Vía de servicio paralela a Las Vegas cerca a cll 39a sur ciclorruta;
108;Pista de patinaje;40;PT;6,16955299;-75,59478611;0;Acceso posterior a pista de patinaje Club PAEN;
109;Villas de vallejuelos;36;VV;6,16856099;-75,5928871;0;Portería urbanización Villas del Vallejuelo;
110;Iglesia Alcalá;48;IA;6,16997966;-75,59330016;0;Contigua a la cilorruta y a la iglesia Santa Cruz de Alcalá;
111;Los urapanes;36;LU;6,17315299;-75,59117854;0;Costado occidental Parque los Urapanes;
112;Parque Débora Arango;44;PQ;6,17167033;-75,59106052;0;Costado sur occidental del Parque Débora Arango;
113;Porton de Alcalá;20;PA;6,16866232;-75,5908674;0;Contiguo a urbanización Portón de Alcalá;
114;El MUA;40;MUA;6,17058766;-75,58939487;0;Diagonal a la I.E. Manuel Uribe Ángel;
115;Viva envigado;56;LU;6,17715296;-75,59021294;0;Esquina nororiental del C.C. Viva Envigado;
116;Guanteros;44;LU;6,16911566;-75,58842927;0;Al frente de Personería de Envigado;
118;Envigado centro;40;EC;6,17028366;-75,58680922;0;Diagonal iglesia Santa Gertrudis, zona bancaria. ;
121;Las Vegas 69 Sur;40;V69;6,154112;-75,616959;0;;
122;Santa Ana;40;SA;6,1538988;-75,6151286;0;Diagonal iglesia Santa Gertrudis, zona bancaria. ;
123;Calle Nueva;56;CN;6,148238;-75,620769;0;;
124;La Barquereña;52;LB;6,150714;-75,613458;0;;
125;Entre amigos;40;EA;6,152328;-75,618236;0;;
126;Sabaneta centro;40;SC;6,15086;-75,616431;0;;
127;Aves María;40;AM;6,149742;-75,617924;0;Diagonal iglesia Santa Gertrudis, zona bancaria. ;
128;Biblioteca Sabaneta;40;BS;6,150029;-75,619176;0;;
129;Puerta La 77 Sur;40;P77;6,152422;-75,624636;0;Diagonal iglesia Santa Gertrudis, zona bancaria. ;
130;Parque 4 Elementos;36;P4E;6,152474;-75,612732;0;;
131;Metro Itaguí I;24;ITA1;6,16417161;-75,6062901;0;;
132;Metro Itaguí II;44;ITA2;6,16418228;-75,60618281;0;;
133;Bahía Ciclovia;32;AUT;6,16803298;-75,60634375;0;;
134;Ideas;28;IDE;6,16955832;-75,607481;0;;
135;Parque Itaguí;24;PITA;6,17264099;-75,6093049;0;;
136;Metróplus Cami;40;PITA;6,17485965;-75,60941756;0;;
137;Doña María;40;PITA;6,17577164;-75,60602456;0;;
138;Los Naranjos;36;PITA;6,17191566;-75,60698748;0;;
139;Villa Paula;40;PITA;6,17419832;-75,60690165;0;;
140;Parque el Artista;40;PITA;6,1789236;-75,60217023;0;;
141;Puente pan de Queso I;52;PITA;6,17564897;-75,59644371;0;;
142;Puente pan de Queso II;40;PITA;6,17547831;-75,59662074;0;;
